games,year,Name,Team,Week,Opponent,tar,rec,yds,td,fum,def_rk,h/a_1,surface_0,salary,points
22,2017,Benjamin Watson,BAL,6,CHI,8,6,28,0,0,12,1.0,1.0,3700,8.8
23,2017,Benjamin Watson,BAL,7,MIN,5,5,38,0,0,1,0.0,0.0,2500,8.8
24,2017,Benjamin Watson,BAL,8,MIA,4,2,6,1,0,32,1.0,1.0,2500,8.6
25,2017,Benjamin Watson,BAL,9,TEN,10,7,41,0,0,19,0.0,1.0,2500,11.1
26,2017,Benjamin Watson,BAL,11,GB,1,1,33,0,0,5,0.0,1.0,2500,4.3
27,2017,Benjamin Watson,BAL,12,HOU,3,3,29,0,0,27,1.0,1.0,2500,5.9
28,2017,Benjamin Watson,BAL,13,DET,5,3,24,1,0,16,1.0,1.0,2500,11.4
29,2017,Benjamin Watson,BAL,14,PIT,1,0,0,0,0,4,0.0,1.0,2500,0.0
30,2017,Benjamin Watson,BAL,15,CLE,4,4,74,1,0,30,0.0,1.0,2500,17.4
31,2017,Benjamin Watson,BAL,16,IND,6,5,40,0,0,18,1.0,1.0,4700,9.0
32,2017,Benjamin Watson,BAL,17,CIN,10,7,61,0,0,23,1.0,1.0,2500,13.1
33,2018,Benjamin Watson,NO,1,TB,4,4,44,0,0,32,1.0,0.0,4800,8.4
34,2018,Benjamin Watson,NO,2,CLE,5,3,19,0,0,4,1.0,0.0,2500,4.9
35,2018,Benjamin Watson,NO,3,ATL,6,5,71,0,0,12,0.0,0.0,2500,12.1
36,2018,Benjamin Watson,NO,4,NYG,3,1,23,0,0,6,0.0,0.0,4500,3.3
1,2015,Blake Bell,SF,2,PIT,3,1,11,0,0,25,0.0,1.0,2500,2.1
2,2015,Blake Bell,SF,3,ARI,1,1,0,0,0,20,0.0,1.0,2500,1.0
3,2015,Blake Bell,SF,5,NYG,1,1,6,0,0,31,0.0,0.0,3800,1.6
4,2015,Blake Bell,SF,12,ARI,3,3,67,0,0,20,1.0,1.0,2500,9.7
5,2015,Blake Bell,SF,13,CHI,3,1,5,0,0,13,0.0,1.0,2500,1.5
6,2015,Blake Bell,SF,14,CLE,3,3,49,0,0,6,0.0,1.0,2900,7.9
7,2015,Blake Bell,SF,15,CIN,8,4,43,0,0,17,1.0,1.0,2500,8.3
8,2015,Blake Bell,SF,16,DET,1,0,0,0,0,27,0.0,0.0,2500,0.0
9,2015,Blake Bell,SF,17,LAR,2,1,5,0,0,26,1.0,1.0,2500,1.5
10,2016,Blake Bell,SF,2,CAR,2,1,6,0,0,28,0.0,1.0,2500,1.6
11,2016,Blake Bell,SF,3,SEA,1,0,0,0,0,4,0.0,0.0,2500,0.0
12,2016,Blake Bell,SF,5,ARI,2,1,4,0,0,1,1.0,1.0,2500,1.4
13,2016,Blake Bell,SF,12,MIA,1,0,0,0,0,25,0.0,1.0,0,0.0
14,2016,Blake Bell,SF,14,NYJ,2,1,30,0,0,22,1.0,1.0,2600,4.0
15,2016,Blake Bell,SF,15,ATL,1,1,45,0,0,26,0.0,0.0,2600,5.5
16,2017,Blake Bell,MIN,2,PIT,1,0,0,0,0,4,0.0,1.0,2500,0.0
17,2017,Blake Bell,MIN,4,DET,1,1,12,0,0,16,1.0,0.0,0,2.2
18,2017,Blake Bell,MIN,14,CAR,2,2,7,0,0,6,0.0,1.0,3300,4.7
1,2018,Blake Jarwin,DAL,1,CAR,1,0,0,0,0,26,0.0,1.0,2600,0.0
2,2018,Blake Jarwin,DAL,3,SEA,1,0,0,0,0,13,0.0,0.0,2600,0.0
1,2016,Braedon Bowman,NYJ,4,SEA,1,0,0,0,0,4,1.0,0.0,2500,0.0
1,2016,Brandon Bostick,NYJ,2,BUF,1,0,0,0,0,6,0.0,0.0,2600,0.0
2,2016,Brandon Bostick,NYJ,5,PIT,1,1,9,0,0,17,0.0,1.0,2500,1.9
3,2016,Brandon Bostick,NYJ,7,BAL,1,0,0,0,0,10,1.0,0.0,2500,0.0
4,2016,Brandon Bostick,NYJ,8,CLE,1,1,4,0,0,31,0.0,1.0,4900,1.4
5,2016,Brandon Bostick,NYJ,12,NE,2,2,14,0,0,8,1.0,0.0,3400,3.4
6,2016,Brandon Bostick,NYJ,13,IND,1,1,12,0,0,23,1.0,0.0,0,2.2
7,2016,Brandon Bostick,NYJ,14,SF,2,2,17,0,0,18,0.0,1.0,0,3.7
8,2016,Brandon Bostick,NYJ,16,NE,1,0,0,0,0,8,0.0,0.0,2500,0.0
9,2016,Brandon Bostick,NYJ,17,BUF,1,1,7,0,0,6,1.0,0.0,2500,1.7
1,2015,Brandon Myers,TB,3,HOU,4,3,18,0,0,10,0.0,0.0,2800,4.8
2,2015,Brandon Myers,TB,4,CAR,3,1,8,0,0,12,1.0,1.0,3300,1.8
3,2015,Brandon Myers,TB,5,JAX,2,2,34,0,0,28,1.0,1.0,2500,5.4
4,2015,Brandon Myers,TB,7,WAS,1,0,0,0,0,16,0.0,1.0,0,0.0
5,2015,Brandon Myers,TB,8,ATL,3,3,32,0,0,29,0.0,0.0,2500,6.2
6,2015,Brandon Myers,TB,10,DAL,4,3,35,0,0,1,1.0,1.0,2500,6.5
7,2016,Brandon Myers,TB,1,ATL,1,1,4,1,0,26,0.0,0.0,2500,7.4
