PlayerID,Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,def_rk,h/a,surface,year
16593,Cameron Brate,TB,3,HOU,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2600,10,away,turf,2015
16648,Troy Niklas,ARI,3,SF,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,3800,9,away,grass,2015
16816,Maxx Williams,BAL,3,CIN,7,3,42.9,44,0,28,6.3,14.7,0,0,0.0,0,0,0,7.4,2500,17,away,turf,2015
16829,Clive Walford,OAK,3,CLE,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,6,away,grass,2015
16846,Tyler Kroft,CIN,3,BAL,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,4,away,grass,2015
16878,Blake Bell,SF,3,ARI,1,1,100.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,1.0,2500,20,away,grass,2015
16903,MyCole Pruitt,MIN,3,LAC,2,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,18,away,grass,2015
16931,Nick Boyle,BAL,3,CIN,2,2,100.0,19,0,13,9.5,9.5,0,0,0.0,0,0,0,3.9,2500,17,away,turf,2015
16933,James O'Shaughnessy,KC,3,GB,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,14,away,grass,2015
17154,Khari Lee,CHI,3,SEA,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,22,away,turf,2015
17240,Mitchell Henry,DEN,3,DET,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,27,away,turf,2015
722,Jason Witten,DAL,4,NO,6,4,66.7,57,0,28,9.5,14.2,0,0,0.0,0,0,0,9.7,2500,32,away,turf,2015
1181,Martellus Bennett,CHI,4,OAK,13,11,84.6,83,1,24,6.4,7.5,0,0,0.0,0,1,0,25.3,2500,30,away,grass,2015
1658,Greg Olsen,CAR,4,TB,6,2,33.3,28,0,19,4.7,14.0,0,0,0.0,0,0,0,4.8,2500,21,away,grass,2015
1810,Owen Daniels,DEN,4,MIN,5,2,40.0,9,1,8,1.8,4.5,0,0,0.0,0,0,0,8.9,2500,15,away,turf,2015
3061,Marcedes Lewis,JAX,4,IND,8,5,62.5,40,0,13,5.0,8.0,0,0,0.0,0,0,0,9.0,2500,23,away,turf,2015
4577,Gary Barnidge,CLE,4,LAC,6,6,100.0,75,1,27,12.5,12.5,0,0,0.0,0,0,0,19.5,3100,18,away,grass,2015
5511,Brent Celek,PHI,4,WAS,2,1,50.0,10,1,10,5.0,10.0,0,0,0.0,0,0,0,8.0,2500,16,away,grass,2015
