,,Week,games_avg,tar_avg,rec_avg,yds_avg,td_avg,fum_avg,def_rk_avg,games_ma,tar_ma,rec_ma,yds_ma,td_ma,fum_ma,def_rk_ma,games_car,tar_car,rec_car,yds_car,td_car,fum_car,def_rk_car,year,def_rk,h/a_1,surface_0,salary,points
Antonio Gates_reframed,1011,8.0,14.0,6.0,3.4,23.8,0.4,0.2,18.0,14.0,6.0,3.4,23.8,0.4,0.2,18.0,13.5,5.83,3.33,25.5,0.5,0.17,18.17,2016,19,0.0,1.0,2500,13.3
Antonio Gates_reframed,1012,9.0,14.5,6.5,3.5,25.33,0.5,0.17,18.17,14.5,6.5,3.5,25.333333333333332,0.5,0.16666666666666666,18.166666666666668,14.0,6.29,3.43,26.57,0.57,0.14,18.29,2016,15,0.0,1.0,2500,18.5
Antonio Gates_reframed,1013,10.0,15.0,6.86,3.71,32.43,0.57,0.14,17.71,15.0,6.857142857142857,3.7142857142857144,32.42857142857143,0.5714285714285714,0.14285714285714285,17.714285714285715,14.5,6.62,3.62,32.62,0.62,0.12,17.88,2016,25,0.0,1.0,3000,16.3
Antonio Gates_reframed,1014,11.0,15.5,7.12,3.75,36.25,0.62,0.12,18.62,15.5,7.125,3.75,36.25,0.625,0.125,18.625,15.0,6.89,3.67,36.0,0.67,0.11,18.67,2016,14,0.0,1.0,2500,7.7
Antonio Gates_reframed,1015,14.0,16.0,6.78,3.78,36.33,0.56,0.11,18.11,16.0,6.777777777777778,3.7777777777777777,36.333333333333336,0.5555555555555556,0.1111111111111111,18.11111111111111,15.5,6.6,3.7,36.1,0.6,0.1,18.2,2016,28,0.0,1.0,0,11.1
Antonio Gates_reframed,1016,15.0,16.5,7.0,3.9,38.8,0.5,0.1,19.1,16.5,7.0,3.9,38.8,0.5,0.1,19.1,16.0,6.82,3.82,38.36,0.55,0.09,19.09,2016,24,0.0,1.0,3300,2.1
Antonio Gates_reframed,1017,16.0,17.0,6.55,3.64,36.27,0.45,0.09,19.55,17.0,6.545454545454546,3.6363636363636362,36.27272727272727,0.45454545454545453,0.09090909090909091,19.545454545454547,16.5,6.42,3.58,36.08,0.5,0.08,19.5,2016,31,0.0,1.0,2500,23.4
Antonio Gates_reframed,1018,17.0,17.5,7.08,4.0,41.08,0.5,0.08,20.5,17.5,7.083333333333333,4.0,41.083333333333336,0.5,0.08333333333333333,20.5,17.0,6.92,3.92,40.54,0.54,0.08,20.38,2016,5,0.0,1.0,2500,16.5
Antonio Gates_reframed,1947,18.0,18.0,7.15,4.08,42.15,0.54,0.08,19.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,7.0,4.0,41.57,0.57,0.07,19.29,2017,29,0.0,1.0,3000,3.7
Antonio Gates_reframed,1948,2.0,25.0,3.0,2.0,17.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,5.5,3.5,36.0,0.5,0.0,17.0,2017,32,0.0,1.0,2500,9.1
Antonio Gates_reframed,1949,3.0,25.5,3.5,2.0,14.0,0.5,0.0,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,5.0,3.0,27.67,0.67,0.0,22.0,2017,7,0.0,1.0,4900,5.0
Antonio Gates_reframed,1950,4.0,26.0,4.0,2.0,19.33,0.33,0.0,22.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,5.0,2.75,28.25,0.5,0.0,18.25,2017,14,0.0,1.0,0,4.8
Antonio Gates_reframed,1951,5.0,26.5,4.25,2.25,19.0,0.25,0.0,20.5,26.5,4.25,2.25,19.0,0.25,0.0,20.5,26.0,5.0,2.8,26.2,0.4,0.0,17.4,2017,31,0.0,0.0,2500,4.3
Antonio Gates_reframed,1952,6.0,27.0,4.0,2.2,19.8,0.2,0.0,22.6,27.0,4.0,2.2,19.8,0.2,0.0,22.6,26.5,4.67,2.67,25.67,0.33,0.0,19.67,2017,26,0.0,1.0,2500,2.6
Antonio Gates_reframed,1953,7.0,27.5,3.5,2.0,19.17,0.17,0.0,23.17,27.5,3.5,2.0,19.166666666666668,0.16666666666666666,0.0,23.166666666666668,27.0,4.14,2.43,24.29,0.29,0.0,20.57,2017,29,0.0,1.0,4000,1.4
Antonio Gates_reframed,1954,8.0,28.0,3.14,1.86,17.0,0.14,0.0,24.0,28.0,3.142857142857143,1.8571428571428572,17.0,0.14285714285714285,0.0,24.0,27.5,3.75,2.25,21.75,0.25,0.0,21.62,2017,10,0.0,0.0,2500,4.5
