year,games,Name,Week,Opponent,Team,tar,rec,yds,yds/rec,yds/tar,td,def_rk,h/a_1,surface_0,points
2012.0,1,Drew Davis,1,KC,ATL,0,0,0,0.0,0.0,0,14,0.0,1.0,0.0
2012.0,1,Dwayne Bowe,1,ATL,KC,6,3,53,17.7,8.8,0,26,1.0,1.0,5.3
2012.0,1,Dwayne Harris,1,NYG,DAL,0,0,0,0.0,0.0,0,11,0.0,0.0,0.0
2012.0,1,Earl Bennett,1,IND,CHI,4,3,50,16.7,12.5,0,2,1.0,1.0,5.0
2012.0,1,Early Doucet,1,SEA,ARI,3,3,37,12.3,12.3,0,1,1.0,1.0,3.7
2012.0,1,Eddie Royal,1,OAK,LAC,2,2,4,2.0,2.0,0,7,0.0,1.0,1.6
2012.0,1,Emmanuel Sanders,1,DEN,PIT,8,4,55,13.8,6.9,0,4,0.0,1.0,5.5
2012.0,1,Eric Decker,1,PIT,DEN,7,5,54,10.8,7.7,0,23,1.0,1.0,5.4
2012.0,1,Eric Weems,1,IND,CHI,0,0,0,0.0,0.0,0,2,1.0,1.0,0.0
2012.0,1,Greg Jennings,1,SF,GB,9,5,34,6.8,3.8,0,8,1.0,1.0,3.4
2012.0,1,Greg Little,1,PHI,CLE,4,0,0,0.0,0.0,0,32,1.0,1.0,0.0
2012.0,1,Hakeem Nicks,1,DAL,NYG,6,4,38,9.5,6.3,0,5,1.0,0.0,3.8
2012.0,1,Harry Douglas,1,KC,ATL,4,3,32,10.7,8.0,0,14,0.0,1.0,3.2
2012.0,1,Jacoby Jones,1,CIN,BAL,3,3,46,15.3,15.3,0,6,1.0,1.0,4.6
2012.0,1,James Jones,1,SF,GB,6,4,81,20.2,13.5,1,8,1.0,1.0,14.1
2012.0,1,Jason Avant,1,CLE,PHI,5,4,27,6.8,5.4,0,16,0.0,1.0,2.7
2012.0,1,Jeremy Kerley,1,BUF,NYJ,4,4,45,11.2,11.2,1,10,1.0,0.0,10.5
2012.0,1,Jeremy Maclin,1,CLE,PHI,14,7,96,13.7,6.9,1,16,0.0,1.0,15.6
2012.0,1,Jerricho Cotchery,1,DEN,PIT,1,0,0,0.0,0.0,0,4,0.0,1.0,0.0
2012.0,1,Joe Adams,1,TB,CAR,0,0,0,0.0,0.0,0,29,0.0,1.0,0.0
