Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
132,Darrius Heyward-Bey,PIT,WR,1,CLE,0.7,0.4,0,6,0,0,6,0,0.1,0.6,0,0,0,0,0.7,0.66
133,Markus Wheaton,PHI,WR,1,ATL,0.65,0.5,0,6.5,0,0,6,0,0,0,0,0,0,0,0.6,0.65
134,Cody Core,CIN,WR,1,IND,1.07,0.6,100,5.9,0,0,6,6,0,0,0,0,0,0,0.6,0.59
135,Marquez Valdes-Scantling,GB,WR,1,CHI,0.82,0.5,0,5.2,0,0,5,0,0.1,0.6,0,0,0,0,0.6,0.58
136,Josh Malone,CIN,WR,1,IND,0.7,0.4,0,5.1,0,0,5,0,0,0.2,0,0,0,0,0.5,0.53
136,Mike Thomas,LAR,WR,1,OAK,0.34,0.2,0,5.3,0,0,0,0,0,0,0,0,0,0,0.5,0.53
138,Russell Shepard,NYG,WR,1,JAX,0.83,0.5,0,5.1,0,0,5,0,0,0.1,0,0,0,0,0.5,0.52
139,Dwayne Harris,OAK,WR,1,LAR,0.44,0.3,0,5.1,0,0,0,0,0,0,0,0,0,0,0.5,0.51
139,Pharoh Cooper,LAR,WR,1,OAK,1,0.6,100,4.7,0,0,5,5,0,0.4,0,0,0,0,0.5,0.51
141,Curtis Samuel,CAR,WR,1,DAL,0.55,0.4,0,4.3,0,0,4,0,0,0.7,0,0,0,0,0.5,0.5
142,Justin Watson,TB,WR,1,NO,0.61,0.4,0,4.7,0,0,5,0,0,0.1,0,0,0,0,0.5,0.48
143,Alex Erickson,CIN,WR,1,IND,0.43,0.3,0,4.5,0,0,0,0,0,0.2,0,0,0,0,0.5,0.47
144,Justin Hunter,PIT,WR,1,CLE,0.48,0.3,0,4.5,0,0,0,0,0,0,0,0,0,0,0.4,0.45
144,Trey Quinn,WAS,WR,1,ARI,0.62,0.4,0,4.4,0,0,4,0,0,0.1,0,0,0,0,0.4,0.45
146,Auden Tate,CIN,WR,1,IND,0.39,0.3,0,4.2,0,0,0,0,0,0.2,0,0,0,0,0.4,0.44
146,Damiere Byrd,CAR,WR,1,DAL,0.48,0.3,0,4.3,0,0,0,0,0,0.1,0,0,0,0,0.4,0.44
146,Andy Jones,DET,WR,1,NYJ,0.33,0.2,0,4.4,0,0,0,0,0,0,0,0,0,0,0.4,0.44
