Name,Opponent,PlayerID,Team,Week,att,def_rk,fum,h/a_1,points,rec,rec_td,rec_yds,ru_att,ru_td,ru_yds,ru_yds/att,salary,surface_0,tar,td,yds,yds/att,year
Malcolm Johnson,NYJ,16955,CLE,1,,5,0,0.0,3.4,2,,,0.0,0.0,0.0,0.0,3000,0.0,2,0,14,,2015
Josh Robinson,BUF,16965,IND,1,,10,0,0.0,1.1,0,,,4.0,0.0,11.0,2.8,3000,0.0,1,0,0,,2015
Aaron Ripkowski,CHI,16966,GB,1,,22,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3500,1.0,0,0,0,,2015
Marcus Murphy,ARI,16989,NO,1,,8,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3200,1.0,0,0,0,,2015
Terrence Magee,DEN,17016,BAL,1,,14,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Zach Zenner,LAC,17023,DET,1,,26,0,0.0,0.6,0,,,2.0,0.0,6.0,3.0,3000,1.0,0,0,0,,2015
Tyler Varga,BUF,17030,IND,1,,10,0,0.0,3.0,1,,,1.0,0.0,2.0,2.0,3500,0.0,1,0,18,,2015
Thomas Rawls,LAR,17050,SEA,1,,23,0,0.0,0.5,0,,,2.0,0.0,5.0,2.5,3000,1.0,0,0,0,,2015
Terron Ward,PHI,17089,ATL,1,,28,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
Corey Grant,CAR,17197,JAX,1,,19,0,1.0,1.5,1,,,0.0,0.0,0.0,0.0,3000,1.0,1,0,5,,2015
Jarryd Hayne,MIN,17254,SF,1,,9,1,1.0,2.0,1,,,4.0,0.0,13.0,3.2,3000,1.0,1,0,7,,2015
Jerome Felton,NE,733,BUF,2,,12,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,0,0,0,,2015
John Kuhn,SEA,1589,GB,2,,1,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Matt Forte,ARI,2699,CHI,2,,8,0,1.0,14.5,4,,,15.0,0.0,61.0,4.1,3000,1.0,5,0,44,,2015
Marcel Reece,BAL,3382,OAK,2,,6,0,1.0,2.6,1,,,0.0,0.0,0.0,0.0,3000,1.0,2,0,16,,2015
Mike Tolbert,HOU,4738,CAR,2,,7,0,1.0,5.5,2,,,5.0,0.0,31.0,6.2,3000,1.0,3,0,4,,2015
Adrian Peterson,DET,4807,MIN,2,,17,1,1.0,23.2,2,,,29.0,0.0,134.0,4.6,3000,0.0,2,0,58,,2015
Jonathan Stewart,HOU,5451,CAR,2,,7,0,1.0,6.9,1,,,17.0,0.0,62.0,3.6,0,1.0,1,0,-3,,2015
Fred Jackson,GB,5701,SEA,2,,13,1,0.0,8.6,2,,,0.0,0.0,0.0,0.0,7700,1.0,2,1,16,,2015
Frank Gore,NYJ,5820,IND,2,,5,1,1.0,6.1,1,,,15.0,0.0,57.0,3.8,3400,0.0,1,0,4,,2015
Darren Sproles,DAL,6198,PHI,2,,25,0,1.0,5.9,4,,,1.0,0.0,-4.0,-4.0,3800,1.0,4,0,23,,2015
Chris Johnson,CHI,6828,ARI,2,,22,0,0.0,7.2,0,,,20.0,0.0,72.0,3.6,3000,1.0,1,0,0,,2015
DeAngelo Williams,SF,7580,PIT,2,,32,0,1.0,31.2,4,,,20.0,3.0,77.0,3.8,7700,1.0,5,0,15,,2015
Jamaal Charles,DEN,7969,KC,2,,14,2,1.0,23.7,4,,,21.0,1.0,125.0,6.0,5500,1.0,5,0,2,,2015
Darren McFadden,PHI,8066,DAL,2,,28,0,0.0,7.2,2,,,10.0,0.0,31.0,3.1,3300,1.0,2,0,21,,2015
Rashad Jennings,ATL,8649,NYG,2,,30,0,1.0,4.4,2,,,9.0,0.0,12.0,1.3,4800,0.0,2,0,12,,2015
Justin Forsett,OAK,9369,BAL,2,,21,0,0.0,12.0,4,,,15.0,0.0,68.0,4.5,3500,1.0,4,0,12,,2015
CJ Spiller,TB,10949,NO,2,,11,0,1.0,3.6,1,,,3.0,0.0,7.0,2.3,3800,0.0,1,0,19,,2015
Dexter McCluster,CLE,11220,TEN,2,,16,0,0.0,16.4,4,,,10.0,0.0,98.0,9.8,5300,1.0,4,0,26,,2015
Ryan Mathews,DAL,11256,PHI,2,,25,0,1.0,0.0,0,,,1.0,0.0,0.0,0.0,7600,1.0,0,0,0,,2015
