games,year,Name,Team,Week,Opponent,att,yds,td,tar,rec_yds,def_rk,h/a_1,surface_0,points
15,2017,Alex Collins,BAL,5,OAK,12,55,0,0,0,19,0.0,1.0,5.5
16,2017,Alex Collins,BAL,6,CHI,15,74,0,0,0,11,1.0,1.0,7.4
17,2017,Alex Collins,BAL,7,MIN,10,30,0,0,0,1,0.0,0.0,3.0
18,2017,Alex Collins,BAL,8,MIA,18,113,0,2,30,25,1.0,1.0,19.3
19,2017,Alex Collins,BAL,9,TEN,13,43,0,1,3,12,0.0,1.0,5.6
20,2017,Alex Collins,BAL,11,GB,20,49,1,7,22,24,0.0,1.0,17.1
21,2017,Alex Collins,BAL,12,HOU,16,60,1,2,-3,7,1.0,1.0,13.7
22,2017,Alex Collins,BAL,13,DET,15,75,2,2,23,31,1.0,1.0,23.8
23,2017,Alex Collins,BAL,14,PIT,18,120,1,2,46,18,0.0,1.0,27.6
24,2017,Alex Collins,BAL,15,CLE,12,19,0,8,33,13,0.0,1.0,10.2
25,2017,Alex Collins,BAL,16,IND,18,51,0,4,15,15,1.0,1.0,9.6
26,2017,Alex Collins,BAL,17,CIN,20,78,1,6,18,30,1.0,1.0,17.6
27,2018,Alex Collins,BAL,1,BUF,7,13,1,1,6,25,1.0,1.0,7.9
28,2018,Alex Collins,BAL,2,CIN,9,35,0,4,55,21,0.0,0.0,12.0
29,2018,Alex Collins,BAL,3,DEN,18,68,1,4,6,20,1.0,1.0,16.4
30,2018,Alex Collins,BAL,3,DEN,18,68,1,4,6,25,1.0,1.0,16.4
31,2018,Alex Collins,BAL,4,PIT,11,42,0,1,3,4,0.0,1.0,10.5
32,2018,Alex Collins,BAL,4,PIT,11,42,0,1,3,3,0.0,1.0,10.5
33,2018,Alex Collins,BAL,5,CLE,12,59,0,4,7,27,0.0,1.0,7.6
34,2018,Alex Collins,BAL,6,TEN,19,54,2,0,0,4,0.0,1.0,17.4
35,2018,Alex Collins,BAL,7,NO,11,38,0,4,10,4,1.0,1.0,7.8
36,2018,Alex Collins,BAL,8,CAR,11,49,1,2,14,16,0.0,1.0,13.3
1,2015,Alfred Blue,HOU,1,KC,9,42,0,2,7,3,1.0,0.0,5.9
2,2015,Alfred Blue,HOU,2,CAR,5,6,0,1,4,19,0.0,1.0,2.0
3,2015,Alfred Blue,HOU,3,TB,31,139,1,0,0,11,1.0,0.0,22.9
4,2015,Alfred Blue,HOU,4,ATL,6,17,0,0,0,30,0.0,0.0,1.7
5,2015,Alfred Blue,HOU,5,IND,6,22,0,1,11,18,1.0,0.0,4.3
6,2015,Alfred Blue,HOU,6,JAX,0,0,0,0,0,27,0.0,1.0,0.0
7,2015,Alfred Blue,HOU,7,MIA,3,8,0,0,0,31,0.0,1.0,0.8
8,2015,Alfred Blue,HOU,8,TEN,14,39,0,5,33,4,1.0,0.0,12.2
9,2015,Alfred Blue,HOU,10,CIN,12,22,0,1,9,15,0.0,0.0,4.1
10,2015,Alfred Blue,HOU,11,NYJ,21,58,0,3,34,5,1.0,0.0,18.2
11,2015,Alfred Blue,HOU,12,NO,16,77,1,1,4,29,1.0,0.0,15.1
12,2015,Alfred Blue,HOU,13,BUF,4,14,0,0,0,10,0.0,0.0,1.4
13,2015,Alfred Blue,HOU,14,NE,0,0,0,0,0,12,1.0,0.0,0.0
14,2015,Alfred Blue,HOU,15,IND,20,107,0,0,0,18,0.0,0.0,12.7
15,2015,Alfred Blue,HOU,16,TEN,15,45,0,1,5,4,0.0,1.0,6.0
16,2015,Alfred Blue,HOU,17,JAX,21,102,0,1,2,27,1.0,0.0,14.4
