Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
137,Brandon Wilds,JAX,RB,5,KC,2,6,3,0,0,0,0,0,0,0,0.6,0.6
138,Chase Edmonds,ARI,RB,6,MIN,1,4,4,0,0,0,0,0,0,0,0.4,0.4
138,Rod Smith,DAL,RB,6,JAX,5,4,0.8,0,0,0,0,0,0,0,0.4,0.4
138,Alex Armah,CAR,RB,5,NYG,1,4,4,0,0,0,0,0,0,0,0.4,0.4
141,Stevan Ridley,PIT,RB,6,CIN,1,2,2,0,0,0,0,0,0,0,0.2,0.2
141,Derrick Coleman,ARI,FB,6,MIN,1,2,2,0,0,0,0,0,0,0,0.2,0.2
141,Kalen Ballage,MIA,RB,5,CIN,1,2,2,0,0,0,0,0,0,0,0.2,0.2
141,Nick Chubb,CLE,RB,5,BAL,3,2,0.7,0,1,0,0,0,0,0,0.2,0.2
145,CJ Ham,MIN,RB,6,ARI,1,1,1,0,1,0,0,0,0,0,0.1,0.1
145,Damien Williams,KC,RB,6,NE,1,1,1,0,0,0,0,0,0,0,0.1,0.1
145,Doug Martin,OAK,RB,5,LAC,2,1,0.5,0,1,0,0,0,0,0,0.1,0.1
145,Mike Boone,MIN,RB,5,PHI,1,1,1,0,0,0,0,0,0,0,0.1,0.1
149,Elijhaa Penny,NYG,RB,6,PHI,0,0,0,0,0,0,0,0,0,0,0,0
149,Josh Adams,PHI,RB,6,NYG,0,0,0,0,0,0,0,0,0,0,0,0
149,Jacquizz Rodgers,TB,RB,6,ATL,0,0,0,0,0,0,0,0,0,0,0,0
149,Alan Cross,TB,FB,6,ATL,0,0,0,0,0,0,0,0,0,0,0,0
149,Ricky Ortiz,ATL,RB,6,TB,0,0,0,0,0,0,0,0,0,0,0,0
149,Roosevelt Nix,PIT,RB,6,CIN,0,0,0,0,1,0,0,0,0,0,0,0
149,Jaylen Samuels,PIT,FB,6,CIN,0,0,0,0,0,0,0,0,0,0,0,0
149,Derek Watt,LAC,FB,6,CLE,0,0,0,0,0,0,0,0,0,0,0,0
149,Dontrell Hilliard,CLE,RB,6,LAC,0,0,0,0,0,0,0,0,0,0,0,0
149,Keith Smith,OAK,FB,6,SEA,0,0,0,0,0,0,0,0,0,0,0,0
149,Tre Madden,SEA,RB,6,OAK,0,0,0,0,0,0,0,0,0,0,0,0
149,Brandon Bolden,MIA,RB,6,CHI,0,0,0,0,0,0,0,0,0,0,0,0
149,Senorise Perry,MIA,RB,6,CHI,0,0,0,0,0,0,0,0,0,0,0,0
149,Jordan Wilkins,IND,RB,6,NYJ,0,0,0,0,0,0,0,0,0,0,0,0
149,Trenton Cannon,NYJ,RB,6,IND,0,0,0,0,0,0,0,0,0,0,0,0
149,CJ Anderson,CAR,RB,6,WAS,0,0,0,0,0,0,0,0,0,0,0,0
149,Alex Armah,CAR,RB,6,WAS,0,0,0,0,0,0,0,0,0,0,0,0
149,Taiwan Jones,BUF,RB,6,HOU,0,0,0,0,0,0,0,0,0,0,0,0
149,Patrick DiMarco,BUF,FB,6,HOU,0,0,0,0,0,0,0,0,0,0,0,0
149,Tyler Ervin,HOU,RB,6,BUF,0,0,0,0,0,0,0,0,0,0,0,0
149,Gregory Howell Jr.,HOU,RB,6,BUF,0,0,0,0,0,0,0,0,0,0,0,0
149,Andy Janovich,DEN,FB,6,LAR,0,0,0,0,0,0,0,0,0,0,0,0
149,Justin Davis,LAR,RB,6,DEN,0,0,0,0,0,0,0,0,0,0,0,0
149,Tommy Bohanon,JAX,FB,6,DAL,0,0,0,0,0,0,0,0,0,0,0,0
149,David Fluellen,TEN,RB,6,BAL,0,0,0,0,0,0,0,0,0,0,0,0
149,Alfred Morris,SF,RB,6,GB,0,0,0,0,0,0,0,0,0,0,0,0
149,Robert Turbin,IND,RB,5,NE,0,0,0,0,1,0,0,0,0,0,0,0
149,James Develin,NE,RB,5,IND,0,0,0,0,0,0,0,0,0,0,0,0
149,Taiwan Jones,BUF,RB,5,TEN,0,0,0,0,1,0,0,0,0,0,0,0
149,Patrick DiMarco,BUF,FB,5,TEN,0,0,0,0,0,0,0,0,0,0,0,0
149,David Fluellen,TEN,RB,5,BUF,0,0,0,0,0,0,0,0,0,0,0,0
149,Brandon Bolden,MIA,RB,5,CIN,0,0,0,0,0,0,0,0,0,0,0,0
149,Senorise Perry,MIA,RB,5,CIN,0,0,0,0,0,0,0,0,0,0,0,0
149,Thomas Rawls,CIN,RB,5,MIA,0,0,0,0,0,0,0,0,0,0,0,0
149,Patrick Ricard,BAL,FB,5,CLE,0,0,0,0,0,0,0,0,0,0,0,0
149,Nick Bellore,DET,RB,5,GB,0,0,0,0,0,0,0,0,0,0,0,0
149,Ameer Abdullah,DET,RB,5,GB,0,0,0,0,0,0,0,0,0,0,0,0
149,Tommy Bohanon,JAX,FB,5,KC,0,0,0,0,1,0,0,0,0,0,0,0
149,Damien Williams,KC,RB,5,JAX,1,0,0,0,0,0,0,0,0,0,0,0
149,Andy Janovich,DEN,FB,5,NYJ,0,0,0,0,0,0,0,0,0,0,0,0
149,Trenton Cannon,NYJ,RB,5,DEN,0,0,0,0,0,0,0,0,0,0,0,0
149,Roosevelt Nix,PIT,RB,5,ATL,0,0,0,0,0,0,0,0,0,0,0,0
149,Ricky Ortiz,ATL,RB,5,PIT,0,0,0,0,1,0,0,0,0,0,0,0
149,Jaylen Samuels,PIT,FB,5,ATL,0,0,0,0,0,0,0,0,0,0,0,0
149,Elijhaa Penny,NYG,RB,5,CAR,0,0,0,0,0,0,0,0,0,0,0,0
149,Wayne Gallman,NYG,RB,5,CAR,0,0,0,0,0,0,0,0,0,0,0,0
149,Keith Smith,OAK,FB,5,LAC,0,0,0,0,0,0,0,0,0,0,0,0
149,Derek Watt,LAC,FB,5,OAK,0,0,0,0,0,0,0,0,0,0,0,0
149,Derrick Coleman,ARI,FB,5,SF,0,0,0,0,0,0,0,0,0,0,0,0
149,Malcolm Brown,LAR,RB,5,SEA,0,0,0,0,0,0,0,0,0,0,0,0
149,Tre Madden,SEA,RB,5,LAR,0,0,0,0,1,0,0,0,0,0,0,0
149,Justin Davis,LAR,RB,5,SEA,0,0,0,0,0,0,0,0,0,0,0,0
149,Rashaad Penny,SEA,RB,5,LAR,0,0,0,0,0,0,0,0,0,0,0,0
149,Jamize Olawale,DAL,FB,5,HOU,0,0,0,0,0,0,0,0,0,0,0,0
149,Tyler Ervin,HOU,RB,5,DAL,0,0,0,0,1,0,0,0,0,0,0,0
149,Gregory Howell Jr.,HOU,RB,5,DAL,0,0,0,0,0,0,0,0,0,0,0,0
149,Zach Line,NO,FB,5,WAS,0,0,0,0,0,0,0,0,0,0,0,0
206,Josh Adams,PHI,RB,5,MIN,1,-1,-1,0,0,0,0,0,0,0,-0.1,-0.1
206,Chase Edmonds,ARI,RB,5,SF,1,-1,-1,0,1,0,0,0,0,0,-0.1,-0.1
208,Mark Walton,CIN,RB,6,PIT,2,-2,-1,0,0,0,0,0,0,0,-0.2,-0.2
209,Roc Thomas,MIN,RB,6,ARI,1,-4,-4,0,0,0,0,0,0,0,-0.4,-0.4
